번호,키워드,카테고리,예상 검색량,콘텐츠 유형 추천,수익화 연결,posted,slug,posted_at
1,신생아 기저귀 추천,기저귀/위생,5400,제품 비교,쿠팡 파트너스,Y,newborn-diaper-recommendations,2026-03-03
2,기저귀 사이즈 선택 방법,기저귀/위생,3600,정보 가이드,쿠팡 파트너스,Y,diaper-size-selection-guide,2026-03-03
3,기저귀 발진 원인 치료,기저귀/위생,2900,증상 해결,쿠팡 파트너스,Y,diaper-rash-causes-treatment,2026-03-03
4,밤기저귀 추천,기저귀/위생,2400,제품 비교,쿠팡 파트너스,Y,night-diaper-recommendation,2026-03-03
5,기저귀 떼는 시기 방법,기저귀/위생,4800,육아 가이드,쿠팡 파트너스,Y,potty-training-timing-methods,2026-03-03
6,아기 물티슈 추천,기저귀/위생,4200,제품 비교,쿠팡 파트너스,Y,baby-wipes-recommendations,2026-03-03
7,아기 물티슈 성분 비교,기저귀/위생,2100,정보 가이드,쿠팡 파트너스,Y,baby-wipes-ingredient-comparison,2026-03-03
8,배변훈련 시작 시기,기저귀/위생,3200,육아 가이드,쿠팡 파트너스,Y,potty-training-start-time,2026-03-03
9,아기 엉덩이 크림 추천,기저귀/위생,1800,제품 비교,쿠팡 파트너스,Y,baby-butt-cream-recommendations,2026-03-03
10,천기저귀 vs 일회용 비교,기저귀/위생,1500,정보 가이드,쿠팡 파트너스,Y,cloth-diapers-vs-disposable-comparison,2026-03-03
11,모유수유 자세 방법,수유/이유식,6200,육아 가이드,쿠팡 파트너스,Y,breastfeeding-positions-techniques,2026-03-03
12,분유 추천 비교,수유/이유식,7800,제품 비교,쿠팡 파트너스,Y,baby-formula-recommendations-comparison,2026-03-04
13,이유식 시작 시기,수유/이유식,8900,육아 가이드,쿠팡 파트너스,Y,baby-food-starting-time,2026-03-04
14,이유식 초기 레시피,수유/이유식,5600,정보 가이드,쿠팡 파트너스,Y,baby-food-initial-recipes,2026-03-04
15,젖병 소독 방법,수유/이유식,3800,육아 가이드,쿠팡 파트너스,Y,bottle-disinfection-method,2026-03-04
16,젖병 추천 비교,수유/이유식,4500,제품 비교,쿠팡 파트너스,Y,bottle-recommendation-comparison,2026-03-04
17,분유제조기 추천,수유/이유식,3200,제품 비교,쿠팡 파트너스,Y,baby-formula-maker-recommendations,2026-03-04
18,이유식 중기 메뉴,수유/이유식,3400,정보 가이드,쿠팡 파트너스,Y,baby-food-stage-2-menu,2026-03-04
19,수유쿠션 추천,수유/이유식,2800,제품 비교,쿠팡 파트너스,Y,nursing-pillow-recommendations,2026-03-04
20,아기 간식 시작 시기,수유/이유식,2600,육아 가이드,쿠팡 파트너스,Y,baby-snack-starting-time,2026-03-04
21,단유 방법 시기,수유/이유식,3100,육아 가이드,쿠팡 파트너스,Y,weaning-method-timing,2026-03-04
22,젖몸살 해결 방법,수유/이유식,2400,증상 해결,쿠팡 파트너스,Y,breastfeeding-pain-relief-methods,2026-03-08
23,이유식 후기 레시피,수유/이유식,2200,정보 가이드,쿠팡 파트너스,Y,baby-food-reviews-recipes,2026-03-08
24,아기 식기 세트 추천,수유/이유식,1900,제품 비교,쿠팡 파트너스,Y,baby-dinnerware-set-recommendations,2026-03-08
25,모유량 늘리는 방법,수유/이유식,3500,육아 가이드,쿠팡 파트너스,Y,increase-breastmilk-supply,2026-03-08
26,아기 발열 대처법,유아 건강/안전,7200,증상 해결,쿠팡 파트너스,Y,baby-fever-management,2026-03-08
27,아기 감기 증상 대처,유아 건강/안전,5400,증상 해결,쿠팡 파트너스,Y,baby-cold-symptoms-management,2026-03-08
28,영유아 예방접종 스케줄,유아 건강/안전,6100,정보 가이드,쿠팡 파트너스,Y,infant-vaccination-schedule,2026-03-08
29,아기 변비 원인 해결,유아 건강/안전,3800,증상 해결,쿠팡 파트너스,Y,baby-constipation-causes-solutions,2026-03-08
30,아기 설사 원인 대처,유아 건강/안전,3200,증상 해결,쿠팡 파트너스,Y,baby-diarrhea-causes-management,2026-03-08
31,아기 배앓이 증상 해결,유아 건강/안전,4500,증상 해결,쿠팡 파트너스,Y,baby-stomach-ache-symptoms-solution,2026-03-08
32,아기 콧물 흡입기 추천,유아 건강/안전,2800,제품 비교,쿠팡 파트너스,Y,baby-nasal-suction-device-recommendation,2026-03-10
33,아기 체온계 추천,유아 건강/안전,3100,제품 비교,쿠팡 파트너스,Y,baby-thermometer-recommendations,2026-03-10
34,아기 아토피 관리법,유아 건강/안전,4200,증상 해결,쿠팡 파트너스,Y,baby-atopy-management,2026-03-10
35,아기 습진 원인 치료,유아 건강/안전,2600,증상 해결,쿠팡 파트너스,Y,baby-eczema-causes-treatment,2026-03-10
36,아기 이앓이 증상 대처,유아 건강/안전,3400,증상 해결,쿠팡 파트너스,Y,baby-teething-symptoms-management,2026-03-10
37,아기 중이염 증상,유아 건강/안전,2100,증상 해결,쿠팡 파트너스,Y,baby-ear-infection-symptoms,2026-03-10
38,유아 안전문 추천,유아 건강/안전,2400,제품 비교,쿠팡 파트너스,Y,baby-gate-recommendations,2026-03-10
39,아기 가습기 추천,유아 건강/안전,4800,제품 비교,쿠팡 파트너스,Y,baby-humidifier-recommendations,2026-03-10
40,영유아 비타민D 추천,유아 건강/안전,2900,제품 비교,쿠팡 파트너스,Y,recommended-vitamin-d-for-infants,2026-03-10
41,아기 유산균 추천,유아 건강/안전,3600,제품 비교,쿠팡 파트너스,Y,baby-probiotic-recommendations,2026-03-10
42,아기 태열 원인 관리,유아 건강/안전,2300,증상 해결,쿠팡 파트너스,Y,baby-heat-rash-causes-management,2026-03-11
43,아기 땀띠 예방 치료,유아 건강/안전,1800,증상 해결,쿠팡 파트너스,Y,baby-heat-rash-prevention-treatment,2026-03-11
44,아기 구토 원인 대처,유아 건강/안전,2500,증상 해결,쿠팡 파트너스,Y,baby-vomiting-causes-response,2026-03-11
45,아기 야제증 원인 해결,유아 건강/안전,1600,증상 해결,쿠팡 파트너스,Y,baby-night-terrors-causes-solutions,2026-03-11
46,유모차 추천 비교,유모차/카시트,8600,제품 비교,쿠팡 파트너스,Y,stroller-recommendations-comparison,2026-03-11
47,디럭스 유모차 추천,유모차/카시트,3200,제품 비교,쿠팡 파트너스,Y,deluxe-stroller-recommendations,2026-03-11
48,휴대용 유모차 추천,유모차/카시트,4100,제품 비교,쿠팡 파트너스,Y,portable-stroller-recommendations,2026-03-11
49,카시트 추천 비교,유모차/카시트,7200,제품 비교,쿠팡 파트너스,Y,car-seat-recommendations-comparison,2026-03-11
50,신생아 카시트 추천,유모차/카시트,4800,제품 비교,쿠팡 파트너스,Y,newborn-car-seat-recommendations,2026-03-11
51,아기띠 추천 비교,유모차/카시트,5400,제품 비교,쿠팡 파트너스,Y,baby-carrier-recommendation-comparison,2026-03-11
52,힙시트 추천,유모차/카시트,3600,제품 비교,쿠팡 파트너스,,,
53,유모차 선택 가이드,유모차/카시트,2800,정보 가이드,쿠팡 파트너스,,,
54,카시트 설치 방법,유모차/카시트,2100,육아 가이드,쿠팡 파트너스,,,
55,유모차 시기별 추천,유모차/카시트,1900,정보 가이드,쿠팡 파트너스,,,
56,아기 로션 추천,아기 스킨케어,5200,제품 비교,쿠팡 파트너스,,,
57,아기 선크림 추천,아기 스킨케어,3800,제품 비교,쿠팡 파트너스,,,
58,아기 바디워시 추천,아기 스킨케어,3200,제품 비교,쿠팡 파트너스,,,
59,아기 보습 관리법,아기 스킨케어,2600,육아 가이드,쿠팡 파트너스,,,
60,아기 샴푸 추천,아기 스킨케어,2100,제품 비교,쿠팡 파트너스,,,
61,신생아 스킨케어 방법,아기 스킨케어,2800,육아 가이드,쿠팡 파트너스,,,
62,아기 피부 트러블 관리,아기 스킨케어,1900,증상 해결,쿠팡 파트너스,,,
63,아기 세탁세제 추천,아기 스킨케어,2400,제품 비교,쿠팡 파트너스,,,
64,아기 보습제 성분 비교,아기 스킨케어,1600,정보 가이드,쿠팡 파트너스,,,
65,아기 자외선 차단 방법,아기 스킨케어,1400,육아 가이드,쿠팡 파트너스,,,
66,아기 수면교육 방법,침구/수면,6800,육아 가이드,쿠팡 파트너스,,,
67,아기 밤울음 원인 해결,침구/수면,5200,증상 해결,쿠팡 파트너스,,,
68,아기 잠투정 원인,침구/수면,3600,증상 해결,쿠팡 파트너스,,,
69,백색소음기 추천,침구/수면,4200,제품 비교,쿠팡 파트너스,,,
70,아기 이불 추천,침구/수면,3100,제품 비교,쿠팡 파트너스,,,
71,아기 베개 시기 추천,침구/수면,2400,제품 비교,쿠팡 파트너스,,,
72,아기 수면 패턴 이해,침구/수면,2800,정보 가이드,쿠팡 파트너스,,,
73,아기 낮잠 횟수 시간,침구/수면,3400,육아 가이드,쿠팡 파트너스,,,
74,수면 조끼 추천,침구/수면,1800,제품 비교,쿠팡 파트너스,,,
75,아기 수면 환경 만들기,침구/수면,1500,육아 가이드,쿠팡 파트너스,,,
76,아기 장난감 월령별 추천,유아 교육/놀이,4800,제품 비교,쿠팡 파트너스,,,
77,아기 그림책 추천,유아 교육/놀이,3600,제품 비교,쿠팡 파트너스,,,
78,0세 장난감 추천,유아 교육/놀이,2800,제품 비교,쿠팡 파트너스,,,
79,1세 장난감 추천,유아 교육/놀이,3200,제품 비교,쿠팡 파트너스,,,
80,아기 퍼즐 추천,유아 교육/놀이,2100,제품 비교,쿠팡 파트너스,,,
81,소근육 발달 놀이,유아 교육/놀이,2600,육아 가이드,쿠팡 파트너스,,,
82,대근육 발달 놀이,유아 교육/놀이,2200,육아 가이드,쿠팡 파트너스,,,
83,아기 블록 추천,유아 교육/놀이,1800,제품 비교,쿠팡 파트너스,,,
84,유아 미술놀이 재료,유아 교육/놀이,1500,제품 비교,쿠팡 파트너스,,,
85,아기 오감놀이 방법,유아 교육/놀이,2400,육아 가이드,쿠팡 파트너스,,,
86,출산 준비물 리스트,출산/임신 준비,9200,정보 가이드,쿠팡 파트너스,,,
87,신생아 필수템 추천,출산/임신 준비,6400,제품 비교,쿠팡 파트너스,,,
88,출산 가방 준비,출산/임신 준비,3800,정보 가이드,쿠팡 파트너스,,,
89,임산부 영양제 추천,출산/임신 준비,5200,제품 비교,쿠팡 파트너스,,,
90,산후조리 방법,출산/임신 준비,4100,육아 가이드,쿠팡 파트너스,,,
91,신생아 옷 사이즈 가이드,출산/임신 준비,3200,정보 가이드,쿠팡 파트너스,,,
92,출산 후 회복 방법,출산/임신 준비,2800,육아 가이드,쿠팡 파트너스,,,
93,임산부 철분제 추천,출산/임신 준비,2400,제품 비교,쿠팡 파트너스,,,
94,신생아 배냇저고리 추천,출산/임신 준비,1800,제품 비교,쿠팡 파트너스,,,
95,태교 방법 추천,출산/임신 준비,2100,육아 가이드,쿠팡 파트너스,,,
96,공기청정기 추천 아기,리빙/생활,5800,제품 비교,쿠팡 파트너스,,,
97,아기 식기 세트 추천,리빙/생활,2800,제품 비교,쿠팡 파트너스,,,
98,젖병소독기 추천 비교,리빙/생활,3200,제품 비교,쿠팡 파트너스,,,
99,아기 바운서 추천,리빙/생활,3600,제품 비교,쿠팡 파트너스,,,
100,아기 식탁의자 추천,리빙/생활,4200,제품 비교,쿠팡 파트너스,,,
101,아기방 꾸미기 방법,리빙/생활,2100,정보 가이드,쿠팡 파트너스,,,
102,아기 매트 추천,리빙/생활,3400,제품 비교,쿠팡 파트너스,,,
103,아기 욕조 추천,리빙/생활,2600,제품 비교,쿠팡 파트너스,,,
104,아기 체중계 추천,리빙/생활,1500,제품 비교,쿠팡 파트너스,,,
105,아기 목욕 방법 온도,리빙/생활,2800,육아 가이드,쿠팡 파트너스,,,
106,신생아 황달 원인 관리,유아 건강/안전,3200,증상 해결,쿠팡 파트너스,,,
107,아기 영양제 총정리,유아 건강/안전,4100,정보 가이드,쿠팡 파트너스,,,
108,아기 철분제 시기 추천,유아 건강/안전,2600,제품 비교,쿠팡 파트너스,,,
109,아기 유치 관리법,유아 건강/안전,1800,육아 가이드,쿠팡 파트너스,,,
110,아기 치발기 추천,유아 건강/안전,2200,제품 비교,쿠팡 파트너스,,,
111,돌잔치 준비 방법,육아용품 가이드,3800,정보 가이드,쿠팡 파트너스,,,
112,아기 첫돌 선물 추천,육아용품 가이드,4200,제품 비교,쿠팡 파트너스,,,
113,육아 스트레스 해소법,육아용품 가이드,2600,육아 가이드,쿠팡 파트너스,,,
114,아빠 육아 참여 방법,육아용품 가이드,1800,육아 가이드,쿠팡 파트너스,,,
115,아기 사진 촬영 팁,육아용품 가이드,1500,정보 가이드,쿠팡 파트너스,,,
116,아기 옷 세탁 방법,육아용품 가이드,2100,육아 가이드,쿠팡 파트너스,,,
117,아기 외출 준비물,육아용품 가이드,2800,정보 가이드,쿠팡 파트너스,,,
118,아기 여행 준비 방법,육아용품 가이드,2400,정보 가이드,쿠팡 파트너스,,,
119,아기 발달 월령별 가이드,육아용품 가이드,5200,정보 가이드,쿠팡 파트너스,,,
120,워킹맘 육아 팁,육아용품 가이드,1900,육아 가이드,쿠팡 파트너스,,,
